orgao,link,titulo,reclamacao
http://http://www.cultura.gov.br,https://cidadao.reclameaqui.com.br/277684/ministerio-da-cultura/ministerio-da-cultura-libera-verba-para-biografia-da-cantora/,Ministério da cultura libera verba para biografia da cantora Claudia Leitte ," 
        Indignada com a liberação da verba de R$365.000,00 para a publicação de uma biografia da cantora Cláudia Leitte. Reitero que de maneira alguma faço repúdio a cultura brasileira,esta deve ser promovida através de incentivo fiscal. Porém, em vez de ser revertida para a população, que, muitas vezes, não tem acesso a diversos tipos de entretenimento devido ao custo elevado, esta verba está erroneamente destinada a uma pessoa que possui plenas condições de arcar com os custos do livro.
 A história do nosso país é cada vez mais deturpada e desconhecida graças a uma massa que não reconhece suas origens, por isso o governo deveria investir e alimentar nos brasileiros o acesso a cultura de enriquecimento intelectual coletivo. Quantos indivíduos poderiam ser agraciados com a chance de poder assistir a uma peça de teatro ou possuir um livro a custos mais baixos de maneira mais abrangente no país. Esse desperdício de verba representa um desaforo aos cidadãos, uma verdadeira afronta ao dinheiro público e aos valores que deveriam ser preconizados em nome de uma sociedade mais culta e consciente.         "
http://http://www.cultura.gov.br,https://cidadao.reclameaqui.com.br/230876/ministerio-da-cultura/nao-consigo-acessar-o-curso-my-english-on-line/,Não consigo acessar o Curso My English On line ," 
        Fiz minha inscrição no My English On line, do Mistério da Educação e Cultura, e fui selecionada, porém não consigo acessar o curso. Primeiro porque não recebi nenhum login e senha, que eles dizem que devemos usar para entrar no curso, depois tentei acessar com senha e login de meu cadastro, também não consigo. Enviei vários e-mails, anexos, acessei o suporte do curso, mas não adianta. Enviaram vários e-mails cobrando meu acesso, caso contrário vão bloquear o meu acesso e me excluir do curso. Como vou entrar se não consigo por culpa da incompetência deles próprios, e ainda serei injustamente prejudicada         "
http://http://www.cultura.gov.br,https://cidadao.reclameaqui.com.br/276100/ministerio-da-cultura/fatima-tayjen/,Fatima Tayjen ," 
        minha filha cursou um ano uma universidade com recurso do fies, porém ingressou em uma federal, portanto estou tentando encerrar o financiamento, bem como pagar o débito de um ano, e o site não permite, aparece um erro de aplicação e diz tente novamente. Ressalto que estou desde 23/12/15 tentando, ate mesmo para disponibilizar o valor para outro estudante, tento diariamente e nada, ja fiz contato telefonico com o fies, ja entrei em contato com o suporte do fies por email e nada. Então Sr Ministro Aloizio Mercadante preciso de uma posição, URGENTE, DA PATRIA EDUCADORA. SERÁ QUE DEVO RECORRER AO PODER JUDICIARIO PARA CANCELAR E PAGAR O FINANCIAMENTO? AGUARDO UMA SOLUÇÃO ;
o NUMERO DA DEMANDA É 1751025. MEU EMAIL É FATIMATAYJEN@GMAIL.COM         "
http://http://www.cultura.gov.br,https://cidadao.reclameaqui.com.br/208581/ministerio-da-cultura/sistema-fies-da-caixa-nao-gera-boleto/,Sistema FIES da Caixa não gera boleto ," 
        Gostaria de reclamar quanto ao Sistema FIES da Caixa (CEF), pois já fazem 8 dias que estou tentando gerar a 2° via do boleto do FIES e o site do mesmo na Caixa NÃO está funcionando, ou seja não consigo acessar nada e não tenho como pagar pois na cidade onde estou agora não tem nenhuma agencia da Caixa. Agora não sei como irei pagar o boleto que já venceu no dia 15/03/14, sendo que já é 21/03/14 e até hoje a caixa não solucionou o problema no site, já liguei e postei reclamando do acesso porem até agora não foi solucionado o problema.         "
http://http://www.cultura.gov.br,https://cidadao.reclameaqui.com.br/217209/ministerio-da-cultura/ausencia-do-nome-de-instituicao-de-ensino-superior-no-site-d/,Ausência do nome de instituição de ensino superior no site do ProUne ," 
        entrei no site do ProUne para saber informações da Universidade Norte do Paraná- Unopar, ao entrar no Balção de Atendimento e lá não consta o Nome dessa instituição.         "
http://http://www.previdenciasocial.gov.br,https://cidadao.reclameaqui.com.br/356327/ministerio-da-previdencia-social/pericia-inss-negligente/,Perícia INSS negligente ," 
        Meu pai sofreu um micro AVC no início do ano e após esse episódio teve seu comportamento completamente alterado.
Após diversos exames e consultas ao neurologista (tudo pelo SUS), ele foi diagnosticado com a doença de Alzheimer.
Como ele não consegue mais realizar nem as tarefas mais simples (fica confuso ao se vestir, precisa de ajuda no banho, até mesmo faz suas necessidades em locais inapropriados), e sempre trabalhou como autônomo, contribuindo com a maior parte da renda de nossa família, decidimos solicitar o auxílio doença para posteriormente conseguirmos a aposentadoria por invalidez. Minha renda somada à da minha mãe é de R$ 2.200,00 por mês e está cada dia mais difícil dar conta das despesas de casa.
Marcamos a perícia para o dia 30 na unidade do INSS da Av. Nossa Senhora do Sabará e o médico sequer examinou o meu pai, não fez perguntas, absolutamente NADA. E hoje, consultando pelo site da previdência verifiquei que o pedido foi indeferido com a justificativa de que ""não foi constatada, em exame realizado pela perícia médica do INSS, a incapacidade para o seu trabalho ou para a sua atividade habitual"". Esta constatação é totalmente INVERÍDICA e DESONESTA, visto que o médico não realizou NENHUM EXAME.
Como pode ignorar todos os laudos apresentados, apenas olhar para o meu pai, e dizer que ele não tem direito ao benefício?
Isso é uma humilhação, a doença por si só é muito triste e creio que o INSS não tenha noção do quanto sofre a família, ainda mais por sermos de baixa renda. 
Entrarei com o recurso indicado na própria Comunicação de Decisão, mas EXIJO uma explicação plausível por parte do INSS, pois o que foi feito foi apenas IGNORAR a situação do paciente, levando em conta apenas a OPINIÃO do ""perito"", que REPITO: NÃO FEZ NENHUM EXAME, NEM PERGUNTAS, NEM MESMO EXAMINOU O MEU PAI FISICAMENTE- ABSOLUTAMENTE NENHUM TIPO DE AVALIAÇÃO FOI REALIZADA NO ATO DA PERÍCIA.
Exijo uma explicação porque o que adianta entrar com o recurso se na próxima perícia que tiver o médico tiver a mesma atitude? 
Isso está muito errado e vocês PRECISAM rever a forma com que tratam uma situação tão delicada como esta. Com certeza isso acontece com outras pessoas. Ele contribuiu por 15 anos, para ter uma doença incurável no final e ter o único benefício que já solicitou na vida negado por um médico NEGLIGENTE e desumano.         "
http://http://www.previdenciasocial.gov.br,https://cidadao.reclameaqui.com.br/319027/ministerio-da-previdencia-social/nao-consigo-realizar-pagamento-encerrar-pagamento/,Não consigo realizar pagamento/encerrar pagamento ," 
        Boa tarde!
Fui emitir o comprovante do eSocial para declaração do IRPF. Apareceu uma mensagem que o mês 06/2016 havia sido reaberto e que seria necessário encerrà-lo. O sistema não deixa que eu encerre este mês pois aparece a mensagem que ""Para prosseguir com o encerramento, todas as competências vinculadas às datas de pagamentos informadas nas remunerações dos trabalhadores devem estar abertas. Verifique!
Este demonstrativo de pagamento já consta como pago no mês 201609"". Realmente, todos os meses de 2016 já foram pagos mas eu preciso encerrar este mês e não estou conseguindo.
Preciso resolver isso com urgência para fazer minha declaração do IRPF.
Obrigada!         "
http://http://www.previdenciasocial.gov.br,https://cidadao.reclameaqui.com.br/308426/ministerio-da-previdencia-social/e-social/,e-social ," 
        Boa tarde.
Reabri a folha de janeiro de 2015 no e-social e não consigo mais fechar.
Ao acessar a folha, o único botão disponível é o ""Encerra Folha"". Não aparecem os botões ""Emitir guia"" ou ""Reabrir folha"", como nas demais competências. Quando clico no único botão existente - ""Encerra Folha"", aparece a mensagem ""Para prosseguir com o encerramento, todas as competências vinculadas às datas de pagamentos informadas nas remunerações dos trabalhadores devem estar abertas. Verifique!"".
Já fiz de tudo, mas não consigo mais fechar.
O que preciso fazer?
Obrigada         "
http://http://www.previdenciasocial.gov.br,https://cidadao.reclameaqui.com.br/324757/ministerio-da-previdencia-social/extrato-cnis-nao-carrega/,Extrato CNIS não carrega!! ," 
        Preciso imprimir o extrato de contribuição do INSS e o site já não bastasse bastante enrolado para conseguir acessar, agora não carrega o extrato!! Fica só carregando carregando e nada!! Absurdo isso!! 
Já vi diversas reclamações e relatos de outras pessoas com o mesmo problema com o site e nenhuma solução dada há mais de 2 anos de reclamações!! Por que fazer a população acreditar em um serviço que não funciona? 
Sinceramente aguardo e tenho esperança de uma solução!
Att,
Marcus Tavares         "
http://http://www.previdenciasocial.gov.br,https://cidadao.reclameaqui.com.br/332010/ministerio-da-previdencia-social/valor-da-pensao-menor/,Valor da pensão menor ," 
        No dia 27/04/2017 vai ser depositado na minha conta corrente no Bradesco R$ 890,15. 
Eu preciso saber porque um valor menor que o salário mínimo.
a que se refere o desconto?         "
