id,orgao,data,titulo,texto,link,Grupo que vai avaliar,insatisfacao,avaliadores,range.avaliacoes
1,ANS,"Quarta-feira, 17 de Abril de 2019 - 15:48",Saúde mental PRA QUE? Cometa suicídio,"Estou extremamente insatisfeita com a ANS e com Bradesco Saúde, eu tenho a NECESSIDADE de dar continuidade ao meu tratamento psicológico mas como já tive as 40 sessões MÍNIMAS prevista, não importa se foi suficiente ou não para o tratamento, encerra-se a cobertura anual. Isso é um absurdo, pacientes que tem qualquer transtorno psicológico, psiquiátrico não deveriam precisar se preocupar com essas questões. É só mais uma vez a vida sendo uma grande merda e dando motivos de que não vale a pena viver nesse mundo. Não vale a pena!!! Plano de saúde que é uma coisa cara, poucos brasileiros tem acesso e ainda para dar dor de cabeça!!!! Não deveria limitar!!!! Ai, a pessoa entra em crise, comete suicídio e é como se nada tivesse acontecido. Muito complicado!!! A ANS informa que são no MÍNIMO!!! MAS PARECE QUE É O MÁXIMO!!! A pessoa já não tem vontade, não tem saúde mental para continuar vivendo, tem atendimento psicológico na tentativa de melhorar e é simplesmente CORTADO! Isso aí é um absurdo. Eu LIGUEI para a ANS, questionei que então a pessoa precisa do atendimento, não tem mais e se a pessoa quiser se matar devido a falta desse tratamento, para ANS e para os planos de saúde ta tudo bem!!!",https://cidadao.reclameaqui.com.br/412589/ans-agencia-nacional-de-saude-suplementar/saude-mental-pra-que-cometa-suicidio/,1,5,6,1
17,ANS,"Sábado, 17 de Março de 2018 - 08:49","A agencia é uma agência mancumunada com empresas de planos de saúde e com os grandes corretores, pois elas fazem oque querem com os clientes",E está agência fica com as nadegas na cadeiras e nao sai as ruas para fiscalizar que e sua função,https://cidadao.reclameaqui.com.br/370708/ans-agencia-nacional-de-saude-suplementar/a-agencia-e-uma-agencia-mancumunada-com-empresas-de-planos-d/,1,3,6,3
25,ANS,"Quinta-feira, 13 de Abril de 2017 - 18:20",A ANS não defende o consumidor,"Liguei na ANS para relcamar da planos corretora conforme relato abaixo. Os atendentes entendem que o erro é nosso protocolo 5258880. Eu preciso que essa corretora encerrem as atividades. Eu preciso que as seguradoras não descartem as pessoas . 
Há aproximadamente um ano e cinco meses, meu pai solicitou a uma corretora de seguros a contratação de plano de saúde para ele e outras pessoas da família totalizando 07 contratações . Fechamos os planos com a PLANOS CORRETORA e o plano contratado foi a BRADESCO SEGUROS. , recebemos as carteirinhas cumprimos as carências todas. 
Até então vimos pagando sistematicamente todas as faturas no valor de 6730,44
Praticamente não usamos os planos a não ser por consultas periódicas e exames médicos solicitados. 
Há cerca de 03 semanas aproximadamente, meu pai um Senhor de 73 anos, que estava em jejum , se dirigiu aa um laboratório para realização de exames de sangue de rotina . Ao apresentar a carteirinha do plano de saúde foi informado que não estaria coberto e que teria que fazer particular ou procurar outro laboratório credenciado. 
A partir daí estamos tentando obter informações concretas para saber o que teria acontecido mas até o momento nada. A única coisa que sei é que o plano está cancelado desde 28/02/17 (informação da Bradesco saúde) sendo que efetuamos o pagamento da fatura do mês 03 EM 10/03/2017 e não recebemos nenhuma notificação formal alertando-nos do cancelamento o que descumpre a norma da agencia nacional de saúde 
Questionei a Planos corretora quanto o pagamento do mês 03/2017 e o funcionário Sr. Francinaldo me informou que o dinheiro recolhido no mês 03 seria destinado a contratação de outro plano de saúde o plano NOTREDAME. Ninguém questionou qualquer pessoa da minha família se nós aceitaríamos esse plano que não tem cobertura em nenhum hospital próximo à minha casa. 
Pedi uma reunião com o responsável pela empresa mas até o momento não obtive retorno 
Ademais, me dirigi à Planos seguradora para obter a cópia do contrato falei com o funcionário Danilo mas até o momento não logrei êxito. 
Encaminhei um e-mail para a Bradesco Saúde e fui informada que o contrato foi administrado pela ADM Administradora e que eu deveria entrar em contato com a mesma para obter mais informações. 
Ocorre que não fizemos nenhum contrato com a ADM , nem sei que administradora é essa . Meu contato foi com a PLANOS CORRETORA CNPJ 01571820000104 Endereço SCS QUADRA 01 BLOCO M EDIFÍCIO GILBERTO SALOMÃO 14 ANDAR e a operadora é a BRADESCO SAÚDE . 
Tentei contato com corretores indicados pela Bradesco Saúde e a informação que eu tive é que houve descontinuidade do plano e se quisermos ser segurados pelo BRADESCO novamente teriamos que cumprir toda a carência de novo e que algumas pessoas nem sequer poderiam ter o plao de saúde devido à idade. 
Gostaria de um posicionamento formal da Bradesco saúde.
Gostaria também que me fosse informado o que devemos fazer para que empresas como essas encerrem suas atividades e não causem transtornos para nenhum outro cidadão 
Gostaria também de um posicionamento dessa Agencia seguradora quanto as regras para manutenção do plano de saúde pois meus pais assinaram o contrato de boa fé 
As pessoas não são descartáveis. Exigimos respeito!
Pagamos para ter saúde pública e não temos fazemos seguros e acontece uma coisa dessas 
Segue os dados dos segurados 
Ildeu José Barbosa 
Maria Lícia Barbosa 
Elson José Barbosa 
Olinto José Barbosa 
Allyne Angélica Barbosa 
Yasmin Azevedo Barbosa 
Arthur Azevedo Barbosa",https://cidadao.reclameaqui.com.br/331102/ans-agencia-nacional-de-saude-suplementar/a-ans-nao-defende-o-consumidor/,1,2.5,6,2
33,ANATEL,"Sábado, 27 de Abril de 2019 - 09:09",Cobrança indevida,"Sou proprietário da linha (47)3319-5722
Em 20/12/2018 recebi a ligação do funcionário Vinicius da empresa Seleme E Santos Servicos Ltda - CNPJ 13.570.534/0001-03 Telefone (42)3630-0700 oferecendo um plano da Telefônica OI reduzindo minha tarifa de R$ 118,02 para R$ 99,80 (R$ 34,90 Voz + R$ 64,90 Internet), para minha surpresa no mês de janeiro/2019 minha conta veio R$ 191,90, entrei em contato com o funcionário que prontamente disse que iria resolver em questão de 7 dias úteis... desde então minha conta está vindo todo mês R$ 191,90, já liguei várias vezes e sempre a mesma conversa.... “está sendo resolvido e o senhor será ressarcido”, para minha indignação a conta que vencerá em maio/2019 veio no valor de R$ 230,27.... ou seja, desde janeiro/2019 até hoje estou sendo enganado por esta empresa, hoje falei com a supervisora Ewelyn que prometeu mais uma vez resolver o problema... meu prejuízo está cada mês maior.",https://cidadao.reclameaqui.com.br/413464/anatel-agencia-nacional-de-telecomunicacoes/cobranca-indevida/,1,2,6,1
41,ANATEL,"Quinta-feira, 11 de Abril de 2019 - 19:43",Má qualidade de sinal de telefone.,"Em Tabaporã MT estamos há mais de uma semana sem comunicação pela operadora vivo, quando vem sinal de telefonia a qualidade é péssima além de não termos dados móveis.gostaríamos de um posicionamento da empresa vivo ou da Anatel nesse caso.",https://cidadao.reclameaqui.com.br/412062/anatel-agencia-nacional-de-telecomunicacoes/ma-qualidade-de-sinal-de-telefone/,1,1.5,6,3
49,ANATEL,"Sexta-feira, 05 de Abril de 2019 - 08:34",pacote contratado não chega como combinado,"Já fiz varias reclamações na Vivo protocolos abaixo
20195706839688
20195637925557
20195488303455
20195578757613

Histórico em 11/01/2019 a Vivo me ofereceu um pacote para o meu telefone 17 33431459 com uma internet passando de 2 para 8 mega
até hoje não houve mudança na velocidade, em algum dos protocolos acima foi enviado um técnico e disse que onde esta instalado a linha
não vai chegar 8 mega nunca e n~~ao consigo resolver a situação.
Abaixo email recebido da telefônica até o momento também sem solução inclusive já passei email a Srta Danielly em 28/03 e até o presente momento não obtive retorno


Boa tarde!

Prezado Cliente, 


Sou Danielly, da equipe de relacionamento da Vivo.

Encaminho abaixo a solução aplicada a respeito de sua solicitação no Fale conosco da VIVO: 

Informamos que acionamos a área técnica para efetuar visita técnica com prioridade , para pleno funcionamento dos serviços. Prazo de 72 horas. 

Caso possua alguma dúvida sobre a solução acima, fico à disposição através do e-mail danielly.muniz@telefonica.com

Protocolo: 20195637925557

Atenciosamente,

Danielly",https://cidadao.reclameaqui.com.br/411352/anatel-agencia-nacional-de-telecomunicacoes/pacote-contratado-nao-chega-como-combinado/,1,2,6,2
57,ANATEL,"Domingo, 31 de Março de 2019 - 11:09",Cote do meu sinal móvel,Esta vivo movel ja fas tempo que cortou minha linha de telefone. Sendo que ja vinha pagando minhas contas com eles com minhas condições e eles nem me ligaram para nada e fes este corte total na minha linha agora esperando que eles ativar meu sinal para receber chamadas este é um direito que eu tenho sendo que ja venho pagando minhas contas com eles eles não pode fazer isto o que eles fez eu tenho o direito da minha linha pelomenos receber chamadas. ater eu acertar as minhas contas com eles ou eles me ligarem para um acordo coisa que eles não o fizerem.obrigado,https://cidadao.reclameaqui.com.br/410777/anatel-agencia-nacional-de-telecomunicacoes/cote-do-meu-sinal-movel/,1,2,6,3
9,ANS,"Segunda-feira, 13 de Agosto de 2018 - 09:40",Mal atendimento da ANS. Deveriam defender o consumidor e não os planos de saúde.,"Esses dias precisei fazer uma reclamação da Intermedica Notredame na ANS e não consegui fazer a minha reclamação no site, porque é impossível completar o cadastro. Liguei no 0800, e a atendente com tudo decorado apenas defendeu o plano de saúde e nem sequer registrou a minha reclamação... fiquei indignada. Como pode um órgão que deve defender o consumidor dos abusos feito diariamente pelos planos de saúde, não dar a mínima atenção para o consumidor? Aí me vem a pergunta que não quer calar, para que existe a ANS? Ou será que tem benefícios desses planos de saúde, para defende-los de tal maneira? Infelizmente não tem como pensar de outra maneira, pois pagamos absurdamente por algo pra usarmos nos momentos difíceis, e quando mais precisamos o que temos por direito nos é negado, e ainda por cima, quem deveria nos defender e brigar por nós, simplesmente nos viram as costas.... Indignada....",https://cidadao.reclameaqui.com.br/387204/ans-agencia-nacional-de-saude-suplementar/mal-atendimento-da-ans-deveriam-defender-o-consumidor-e-nao/,1,3,6,1
10,ANS,"Sexta-feira, 29 de Junho de 2018 - 09:10",Porcentagem absurda,"A vagabunda da ANS autoriza os planos de saúde subirem mais de 18% nos planos de saúde e para piorar a situação os planos de saúde agora pode cobrar 40% sobre a coparticipação que era de 30% de onde são esses alienígenas desgraçados que não sabe a porcentagem do salário mínimo do Brasil e que estar totalmente fora da realidade do Brasil pois são anos consecutivos com esses abuso da ANS, mais respeito com os usuários bandidos sem vergonhas!",https://cidadao.reclameaqui.com.br/382711/ans-agencia-nacional-de-saude-suplementar/porcentagem-absurda/,2,4.5,6,1
18,ANS,"Quarta-feira, 28 de Fevereiro de 2018 - 15:56",Reajuste Abusivo às operadoras de Plano de Saúde,"Quero manifestar minha total insatisfação com as medidas de REAJUSTE nos planos de saúde autorizadas pela Agência Nacional de Saúde (ANS) e, concedido às operadoras de planos.

Reajustes estes que considero ABUSIVOS, pelos percentuais de mais de 13%, contra uma inflação divulgada pelo governo de 2,95%. 

São reajustes de mais de 4 VEZES a inflação acumulada em 2017.

A quem a ANS está prestando esse serviço? Aos usuários ou às operadoras? Aos usuários certamente que não, pois, agindo dessa forma está apenas contribuindo para empurrar cada vez mais usuários para as filas do já deficitário e precário atendimento do SUS.

Está mais que na hora um basta nessas decisões que favorecem UNILATERALMENTE aos mais poderosos em detrimento dos que lutam contra a maior carga de impostos desse país !

Atenciosamente,

Luiz Moro",https://cidadao.reclameaqui.com.br/368112/ans-agencia-nacional-de-saude-suplementar/reajuste-abusivo-as-operadoras-de-plano-de-saude/,2,3.5,6,2
